date,node,hour,chargeable_mwh
2026-08-17,장성,0,0.0
2026-08-17,남원,0,0.0
2026-08-17,동산,0,0.0
2026-08-17,새만금,0,0.0
2026-08-17,장성,1,0.0
2026-08-17,남원,1,0.0
2026-08-17,동산,1,0.0
2026-08-17,새만금,1,0.0
2026-08-17,장성,2,0.0
2026-08-17,남원,2,0.0
2026-08-17,동산,2,0.0
2026-08-17,새만금,2,0.0
2026-08-17,장성,3,0.0
2026-08-17,남원,3,0.0
2026-08-17,동산,3,0.0
2026-08-17,새만금,3,0.0
2026-08-17,장성,4,0.0
2026-08-17,남원,4,0.0
2026-08-17,동산,4,0.0
2026-08-17,새만금,4,0.0
2026-08-17,장성,5,0.0
2026-08-17,남원,5,0.0
2026-08-17,동산,5,0.0
2026-08-17,새만금,5,0.0
2026-08-17,장성,6,0.0
2026-08-17,남원,6,0.0
2026-08-17,동산,6,0.0
2026-08-17,새만금,6,0.0
2026-08-17,장성,7,0.0
2026-08-17,남원,7,0.0
2026-08-17,동산,7,0.0
2026-08-17,새만금,7,0.0
2026-08-17,장성,8,0.0
2026-08-17,남원,8,0.0
2026-08-17,동산,8,0.0
2026-08-17,새만금,8,0.0
2026-08-17,장성,9,4.76
2026-08-17,남원,9,5.44
2026-08-17,동산,9,6.12
2026-08-17,새만금,9,6.8
2026-08-17,장성,10,9.52
2026-08-17,남원,10,10.88
2026-08-17,동산,10,12.24
2026-08-17,새만금,10,13.6
2026-08-17,장성,11,14.28
2026-08-17,남원,11,16.32
2026-08-17,동산,11,18.36
2026-08-17,새만금,11,20.4
2026-08-17,장성,12,19.04
2026-08-17,남원,12,21.76
2026-08-17,동산,12,24.48
2026-08-17,새만금,12,27.2
2026-08-17,장성,13,23.8
2026-08-17,남원,13,27.2
2026-08-17,동산,13,30.6
2026-08-17,새만금,13,34.0
2026-08-17,장성,14,19.04
2026-08-17,남원,14,21.76
2026-08-17,동산,14,24.48
2026-08-17,새만금,14,27.2
2026-08-17,장성,15,14.28
2026-08-17,남원,15,16.32
2026-08-17,동산,15,18.36
2026-08-17,새만금,15,20.4
2026-08-17,장성,16,9.52
2026-08-17,남원,16,10.88
2026-08-17,동산,16,12.24
2026-08-17,새만금,16,13.6
2026-08-17,장성,17,4.76
2026-08-17,남원,17,5.44
2026-08-17,동산,17,6.12
2026-08-17,새만금,17,6.8
2026-08-17,장성,18,0.0
2026-08-17,남원,18,0.0
2026-08-17,동산,18,0.0
2026-08-17,새만금,18,0.0
2026-08-17,장성,19,0.0
2026-08-17,남원,19,0.0
2026-08-17,동산,19,0.0
2026-08-17,새만금,19,0.0
2026-08-17,장성,20,0.0
2026-08-17,남원,20,0.0
2026-08-17,동산,20,0.0
2026-08-17,새만금,20,0.0
2026-08-17,장성,21,0.0
2026-08-17,남원,21,0.0
2026-08-17,동산,21,0.0
2026-08-17,새만금,21,0.0
2026-08-17,장성,22,0.0
2026-08-17,남원,22,0.0
2026-08-17,동산,22,0.0
2026-08-17,새만금,22,0.0
2026-08-17,장성,23,0.0
2026-08-17,남원,23,0.0
2026-08-17,동산,23,0.0
2026-08-17,새만금,23,0.0
2026-08-18,장성,0,0.0
2026-08-18,남원,0,0.0
2026-08-18,동산,0,0.0
2026-08-18,새만금,0,0.0
2026-08-18,장성,1,0.0
2026-08-18,남원,1,0.0
2026-08-18,동산,1,0.0
2026-08-18,새만금,1,0.0
2026-08-18,장성,2,0.0
2026-08-18,남원,2,0.0
2026-08-18,동산,2,0.0
2026-08-18,새만금,2,0.0
2026-08-18,장성,3,0.0
2026-08-18,남원,3,0.0
2026-08-18,동산,3,0.0
2026-08-18,새만금,3,0.0
2026-08-18,장성,4,0.0
2026-08-18,남원,4,0.0
2026-08-18,동산,4,0.0
2026-08-18,새만금,4,0.0
2026-08-18,장성,5,0.0
2026-08-18,남원,5,0.0
2026-08-18,동산,5,0.0
2026-08-18,새만금,5,0.0
2026-08-18,장성,6,0.0
2026-08-18,남원,6,0.0
2026-08-18,동산,6,0.0
2026-08-18,새만금,6,0.0
2026-08-18,장성,7,0.0
2026-08-18,남원,7,0.0
2026-08-18,동산,7,0.0
2026-08-18,새만금,7,0.0
2026-08-18,장성,8,0.0
2026-08-18,남원,8,0.0
2026-08-18,동산,8,0.0
2026-08-18,새만금,8,0.0
2026-08-18,장성,9,5.6
2026-08-18,남원,9,6.4
2026-08-18,동산,9,7.2
2026-08-18,새만금,9,8.0
2026-08-18,장성,10,11.2
2026-08-18,남원,10,12.8
2026-08-18,동산,10,14.4
2026-08-18,새만금,10,16.0
2026-08-18,장성,11,16.8
2026-08-18,남원,11,19.2
2026-08-18,동산,11,21.6
2026-08-18,새만금,11,24.0
2026-08-18,장성,12,22.4
2026-08-18,남원,12,25.6
2026-08-18,동산,12,28.8
2026-08-18,새만금,12,32.0
2026-08-18,장성,13,28.0
2026-08-18,남원,13,32.0
2026-08-18,동산,13,36.0
2026-08-18,새만금,13,40.0
2026-08-18,장성,14,22.4
2026-08-18,남원,14,25.6
2026-08-18,동산,14,28.8
2026-08-18,새만금,14,32.0
2026-08-18,장성,15,16.8
2026-08-18,남원,15,19.2
2026-08-18,동산,15,21.6
2026-08-18,새만금,15,24.0
2026-08-18,장성,16,11.2
2026-08-18,남원,16,12.8
2026-08-18,동산,16,14.4
2026-08-18,새만금,16,16.0
2026-08-18,장성,17,5.6
2026-08-18,남원,17,6.4
2026-08-18,동산,17,7.2
2026-08-18,새만금,17,8.0
2026-08-18,장성,18,0.0
2026-08-18,남원,18,0.0
2026-08-18,동산,18,0.0
2026-08-18,새만금,18,0.0
2026-08-18,장성,19,0.0
2026-08-18,남원,19,0.0
2026-08-18,동산,19,0.0
2026-08-18,새만금,19,0.0
2026-08-18,장성,20,0.0
2026-08-18,남원,20,0.0
2026-08-18,동산,20,0.0
2026-08-18,새만금,20,0.0
2026-08-18,장성,21,0.0
2026-08-18,남원,21,0.0
2026-08-18,동산,21,0.0
2026-08-18,새만금,21,0.0
2026-08-18,장성,22,0.0
2026-08-18,남원,22,0.0
2026-08-18,동산,22,0.0
2026-08-18,새만금,22,0.0
2026-08-18,장성,23,0.0
2026-08-18,남원,23,0.0
2026-08-18,동산,23,0.0
2026-08-18,새만금,23,0.0
2026-08-19,장성,0,0.0
2026-08-19,남원,0,0.0
2026-08-19,동산,0,0.0
2026-08-19,새만금,0,0.0
2026-08-19,장성,1,0.0
2026-08-19,남원,1,0.0
2026-08-19,동산,1,0.0
2026-08-19,새만금,1,0.0
2026-08-19,장성,2,0.0
2026-08-19,남원,2,0.0
2026-08-19,동산,2,0.0
2026-08-19,새만금,2,0.0
2026-08-19,장성,3,0.0
2026-08-19,남원,3,0.0
2026-08-19,동산,3,0.0
2026-08-19,새만금,3,0.0
2026-08-19,장성,4,0.0
2026-08-19,남원,4,0.0
2026-08-19,동산,4,0.0
2026-08-19,새만금,4,0.0
2026-08-19,장성,5,0.0
2026-08-19,남원,5,0.0
2026-08-19,동산,5,0.0
2026-08-19,새만금,5,0.0
2026-08-19,장성,6,0.0
2026-08-19,남원,6,0.0
2026-08-19,동산,6,0.0
2026-08-19,새만금,6,0.0
2026-08-19,장성,7,0.0
2026-08-19,남원,7,0.0
2026-08-19,동산,7,0.0
2026-08-19,새만금,7,0.0
2026-08-19,장성,8,0.0
2026-08-19,남원,8,0.0
2026-08-19,동산,8,0.0
2026-08-19,새만금,8,0.0
2026-08-19,장성,9,6.44
2026-08-19,남원,9,7.36
2026-08-19,동산,9,8.28
2026-08-19,새만금,9,9.2
2026-08-19,장성,10,12.88
2026-08-19,남원,10,14.72
2026-08-19,동산,10,16.56
2026-08-19,새만금,10,18.4
2026-08-19,장성,11,19.32
2026-08-19,남원,11,22.08
2026-08-19,동산,11,24.84
2026-08-19,새만금,11,27.6
2026-08-19,장성,12,25.76
2026-08-19,남원,12,29.44
2026-08-19,동산,12,33.12
2026-08-19,새만금,12,36.8
2026-08-19,장성,13,32.2
2026-08-19,남원,13,36.8
2026-08-19,동산,13,41.4
2026-08-19,새만금,13,46.0
2026-08-19,장성,14,25.76
2026-08-19,남원,14,29.44
2026-08-19,동산,14,33.12
2026-08-19,새만금,14,36.8
2026-08-19,장성,15,19.32
2026-08-19,남원,15,22.08
2026-08-19,동산,15,24.84
2026-08-19,새만금,15,27.6
2026-08-19,장성,16,12.88
2026-08-19,남원,16,14.72
2026-08-19,동산,16,16.56
2026-08-19,새만금,16,18.4
2026-08-19,장성,17,6.44
2026-08-19,남원,17,7.36
2026-08-19,동산,17,8.28
2026-08-19,새만금,17,9.2
2026-08-19,장성,18,0.0
2026-08-19,남원,18,0.0
2026-08-19,동산,18,0.0
2026-08-19,새만금,18,0.0
2026-08-19,장성,19,0.0
2026-08-19,남원,19,0.0
2026-08-19,동산,19,0.0
2026-08-19,새만금,19,0.0
2026-08-19,장성,20,0.0
2026-08-19,남원,20,0.0
2026-08-19,동산,20,0.0
2026-08-19,새만금,20,0.0
2026-08-19,장성,21,0.0
2026-08-19,남원,21,0.0
2026-08-19,동산,21,0.0
2026-08-19,새만금,21,0.0
2026-08-19,장성,22,0.0
2026-08-19,남원,22,0.0
2026-08-19,동산,22,0.0
2026-08-19,새만금,22,0.0
2026-08-19,장성,23,0.0
2026-08-19,남원,23,0.0
2026-08-19,동산,23,0.0
2026-08-19,새만금,23,0.0
2026-08-20,장성,0,0.0
2026-08-20,남원,0,0.0
2026-08-20,동산,0,0.0
2026-08-20,새만금,0,0.0
2026-08-20,장성,1,0.0
2026-08-20,남원,1,0.0
2026-08-20,동산,1,0.0
2026-08-20,새만금,1,0.0
2026-08-20,장성,2,0.0
2026-08-20,남원,2,0.0
2026-08-20,동산,2,0.0
2026-08-20,새만금,2,0.0
2026-08-20,장성,3,0.0
2026-08-20,남원,3,0.0
2026-08-20,동산,3,0.0
2026-08-20,새만금,3,0.0
2026-08-20,장성,4,0.0
2026-08-20,남원,4,0.0
2026-08-20,동산,4,0.0
2026-08-20,새만금,4,0.0
2026-08-20,장성,5,0.0
2026-08-20,남원,5,0.0
2026-08-20,동산,5,0.0
2026-08-20,새만금,5,0.0
2026-08-20,장성,6,0.0
2026-08-20,남원,6,0.0
2026-08-20,동산,6,0.0
2026-08-20,새만금,6,0.0
2026-08-20,장성,7,0.0
2026-08-20,남원,7,0.0
2026-08-20,동산,7,0.0
2026-08-20,새만금,7,0.0
2026-08-20,장성,8,0.0
2026-08-20,남원,8,0.0
2026-08-20,동산,8,0.0
2026-08-20,새만금,8,0.0
2026-08-20,장성,9,5.32
2026-08-20,남원,9,6.08
2026-08-20,동산,9,6.84
2026-08-20,새만금,9,7.6
2026-08-20,장성,10,10.64
2026-08-20,남원,10,12.16
2026-08-20,동산,10,13.68
2026-08-20,새만금,10,15.2
2026-08-20,장성,11,15.96
2026-08-20,남원,11,18.24
2026-08-20,동산,11,20.52
2026-08-20,새만금,11,22.8
2026-08-20,장성,12,21.28
2026-08-20,남원,12,24.32
2026-08-20,동산,12,27.36
2026-08-20,새만금,12,30.4
2026-08-20,장성,13,26.6
2026-08-20,남원,13,30.4
2026-08-20,동산,13,34.2
2026-08-20,새만금,13,38.0
2026-08-20,장성,14,21.28
2026-08-20,남원,14,24.32
2026-08-20,동산,14,27.36
2026-08-20,새만금,14,30.4
2026-08-20,장성,15,15.96
2026-08-20,남원,15,18.24
2026-08-20,동산,15,20.52
2026-08-20,새만금,15,22.8
2026-08-20,장성,16,10.64
2026-08-20,남원,16,12.16
2026-08-20,동산,16,13.68
2026-08-20,새만금,16,15.2
2026-08-20,장성,17,5.32
2026-08-20,남원,17,6.08
2026-08-20,동산,17,6.84
2026-08-20,새만금,17,7.6
2026-08-20,장성,18,0.0
2026-08-20,남원,18,0.0
2026-08-20,동산,18,0.0
2026-08-20,새만금,18,0.0
2026-08-20,장성,19,0.0
2026-08-20,남원,19,0.0
2026-08-20,동산,19,0.0
2026-08-20,새만금,19,0.0
2026-08-20,장성,20,0.0
2026-08-20,남원,20,0.0
2026-08-20,동산,20,0.0
2026-08-20,새만금,20,0.0
2026-08-20,장성,21,0.0
2026-08-20,남원,21,0.0
2026-08-20,동산,21,0.0
2026-08-20,새만금,21,0.0
2026-08-20,장성,22,0.0
2026-08-20,남원,22,0.0
2026-08-20,동산,22,0.0
2026-08-20,새만금,22,0.0
2026-08-20,장성,23,0.0
2026-08-20,남원,23,0.0
2026-08-20,동산,23,0.0
2026-08-20,새만금,23,0.0
2026-08-21,장성,0,0.0
2026-08-21,남원,0,0.0
2026-08-21,동산,0,0.0
2026-08-21,새만금,0,0.0
2026-08-21,장성,1,0.0
2026-08-21,남원,1,0.0
2026-08-21,동산,1,0.0
2026-08-21,새만금,1,0.0
2026-08-21,장성,2,0.0
2026-08-21,남원,2,0.0
2026-08-21,동산,2,0.0
2026-08-21,새만금,2,0.0
2026-08-21,장성,3,0.0
2026-08-21,남원,3,0.0
2026-08-21,동산,3,0.0
2026-08-21,새만금,3,0.0
2026-08-21,장성,4,0.0
2026-08-21,남원,4,0.0
2026-08-21,동산,4,0.0
2026-08-21,새만금,4,0.0
2026-08-21,장성,5,0.0
2026-08-21,남원,5,0.0
2026-08-21,동산,5,0.0
2026-08-21,새만금,5,0.0
2026-08-21,장성,6,0.0
2026-08-21,남원,6,0.0
2026-08-21,동산,6,0.0
2026-08-21,새만금,6,0.0
2026-08-21,장성,7,0.0
2026-08-21,남원,7,0.0
2026-08-21,동산,7,0.0
2026-08-21,새만금,7,0.0
2026-08-21,장성,8,0.0
2026-08-21,남원,8,0.0
2026-08-21,동산,8,0.0
2026-08-21,새만금,8,0.0
2026-08-21,장성,9,7.0
2026-08-21,남원,9,8.0
2026-08-21,동산,9,9.0
2026-08-21,새만금,9,10.0
2026-08-21,장성,10,14.0
2026-08-21,남원,10,16.0
2026-08-21,동산,10,18.0
2026-08-21,새만금,10,20.0
2026-08-21,장성,11,21.0
2026-08-21,남원,11,24.0
2026-08-21,동산,11,27.0
2026-08-21,새만금,11,30.0
2026-08-21,장성,12,28.0
2026-08-21,남원,12,32.0
2026-08-21,동산,12,36.0
2026-08-21,새만금,12,40.0
2026-08-21,장성,13,35.0
2026-08-21,남원,13,40.0
2026-08-21,동산,13,45.0
2026-08-21,새만금,13,50.0
2026-08-21,장성,14,28.0
2026-08-21,남원,14,32.0
2026-08-21,동산,14,36.0
2026-08-21,새만금,14,40.0
2026-08-21,장성,15,21.0
2026-08-21,남원,15,24.0
2026-08-21,동산,15,27.0
2026-08-21,새만금,15,30.0
2026-08-21,장성,16,14.0
2026-08-21,남원,16,16.0
2026-08-21,동산,16,18.0
2026-08-21,새만금,16,20.0
2026-08-21,장성,17,7.0
2026-08-21,남원,17,8.0
2026-08-21,동산,17,9.0
2026-08-21,새만금,17,10.0
2026-08-21,장성,18,0.0
2026-08-21,남원,18,0.0
2026-08-21,동산,18,0.0
2026-08-21,새만금,18,0.0
2026-08-21,장성,19,0.0
2026-08-21,남원,19,0.0
2026-08-21,동산,19,0.0
2026-08-21,새만금,19,0.0
2026-08-21,장성,20,0.0
2026-08-21,남원,20,0.0
2026-08-21,동산,20,0.0
2026-08-21,새만금,20,0.0
2026-08-21,장성,21,0.0
2026-08-21,남원,21,0.0
2026-08-21,동산,21,0.0
2026-08-21,새만금,21,0.0
2026-08-21,장성,22,0.0
2026-08-21,남원,22,0.0
2026-08-21,동산,22,0.0
2026-08-21,새만금,22,0.0
2026-08-21,장성,23,0.0
2026-08-21,남원,23,0.0
2026-08-21,동산,23,0.0
2026-08-21,새만금,23,0.0
2026-08-22,장성,0,0.0
2026-08-22,남원,0,0.0
2026-08-22,동산,0,0.0
2026-08-22,새만금,0,0.0
2026-08-22,장성,1,0.0
2026-08-22,남원,1,0.0
2026-08-22,동산,1,0.0
2026-08-22,새만금,1,0.0
2026-08-22,장성,2,0.0
2026-08-22,남원,2,0.0
2026-08-22,동산,2,0.0
2026-08-22,새만금,2,0.0
2026-08-22,장성,3,0.0
2026-08-22,남원,3,0.0
2026-08-22,동산,3,0.0
2026-08-22,새만금,3,0.0
2026-08-22,장성,4,0.0
2026-08-22,남원,4,0.0
2026-08-22,동산,4,0.0
2026-08-22,새만금,4,0.0
2026-08-22,장성,5,0.0
2026-08-22,남원,5,0.0
2026-08-22,동산,5,0.0
2026-08-22,새만금,5,0.0
2026-08-22,장성,6,0.0
2026-08-22,남원,6,0.0
2026-08-22,동산,6,0.0
2026-08-22,새만금,6,0.0
2026-08-22,장성,7,0.0
2026-08-22,남원,7,0.0
2026-08-22,동산,7,0.0
2026-08-22,새만금,7,0.0
2026-08-22,장성,8,0.0
2026-08-22,남원,8,0.0
2026-08-22,동산,8,0.0
2026-08-22,새만금,8,0.0
2026-08-22,장성,9,4.48
2026-08-22,남원,9,5.12
2026-08-22,동산,9,5.76
2026-08-22,새만금,9,6.4
2026-08-22,장성,10,8.96
2026-08-22,남원,10,10.24
2026-08-22,동산,10,11.52
2026-08-22,새만금,10,12.8
2026-08-22,장성,11,13.44
2026-08-22,남원,11,15.36
2026-08-22,동산,11,17.28
2026-08-22,새만금,11,19.2
2026-08-22,장성,12,17.92
2026-08-22,남원,12,20.48
2026-08-22,동산,12,23.04
2026-08-22,새만금,12,25.6
2026-08-22,장성,13,22.4
2026-08-22,남원,13,25.6
2026-08-22,동산,13,28.8
2026-08-22,새만금,13,32.0
2026-08-22,장성,14,17.92
2026-08-22,남원,14,20.48
2026-08-22,동산,14,23.04
2026-08-22,새만금,14,25.6
2026-08-22,장성,15,13.44
2026-08-22,남원,15,15.36
2026-08-22,동산,15,17.28
2026-08-22,새만금,15,19.2
2026-08-22,장성,16,8.96
2026-08-22,남원,16,10.24
2026-08-22,동산,16,11.52
2026-08-22,새만금,16,12.8
2026-08-22,장성,17,4.48
2026-08-22,남원,17,5.12
2026-08-22,동산,17,5.76
2026-08-22,새만금,17,6.4
2026-08-22,장성,18,0.0
2026-08-22,남원,18,0.0
2026-08-22,동산,18,0.0
2026-08-22,새만금,18,0.0
2026-08-22,장성,19,0.0
2026-08-22,남원,19,0.0
2026-08-22,동산,19,0.0
2026-08-22,새만금,19,0.0
2026-08-22,장성,20,0.0
2026-08-22,남원,20,0.0
2026-08-22,동산,20,0.0
2026-08-22,새만금,20,0.0
2026-08-22,장성,21,0.0
